0,0,0,-0.0013
0.0022,0.1066,5.2454,-0.0229
0.0084,0.3138,10.361,-0.0992
0.0191,0.5403,11.4417,-0.2461
0.0344,0.7645,11.2335,-0.4639
0.0541,0.9893,11.2802,-0.7509
0.0784,1.2099,10.9886,-1.105
0.107,1.4306,11.0339,-1.5227
0.1399,1.6449,10.7127,-1.9985
0.177,1.8558,10.5636,-2.5283
0.2182,2.0613,10.2722,-3.1075
0.2635,2.2632,10.0955,-3.7316
0.3126,2.4601,9.856,-4.3948
0.3657,2.6514,9.5546,-5.0926
0.4224,2.8397,9.4279,-5.8193
0.4828,3.0214,9.0892,-6.5698
0.5469,3.1989,8.8645,-7.3408
0.6143,3.3749,8.8091,-8.1265
0.6852,3.5433,8.421,-8.9225
0.7594,3.7102,8.3347,-9.7264
0.8369,3.8745,8.2211,-10.5335
0.9175,4.0341,7.9906,-11.3403
1.0013,4.1914,7.8628,-12.1454
1.0884,4.3475,7.7935,-12.9466
1.1783,4.5022,7.741,-13.7406
1.2714,4.6532,7.5489,-14.526
1.3674,4.8049,7.5936,-15.3015
1.4666,4.9537,7.4366,-16.0662
1.5687,5.1031,7.4632,-16.8198
1.6736,5.2523,7.4685,-17.5603
1.7817,5.3989,7.3212,-18.2879
1.8925,5.5479,7.4612,-19.0022
2.0065,5.6941,7.3093,-19.703
2.1234,5.8421,7.3933,-20.3912
2.2431,5.9906,7.43,-21.0656
2.3659,6.1373,7.3335,-21.7269
2.4916,6.2858,7.4229,-22.3759
2.6203,6.4346,7.4425,-23.0124
2.752,6.5829,7.4136,-23.6369
2.8867,6.7326,7.4821,-24.2501
3.0243,6.8823,7.4844,-24.8521
3.1649,7.0325,7.5093,-25.4436
3.3086,7.1832,7.5355,-26.0253
3.4552,7.3348,7.5852,-26.5974
3.605,7.4859,7.5502,-27.1609
3.7578,7.639,7.6585,-27.7166
3.9136,7.7917,7.631,-28.2645
4.0724,7.9455,7.6987,-28.8054
4.2345,8.0991,7.6712,-29.3403
4.3996,8.2545,7.7746,-29.8698
4.5678,8.4096,7.7538,-30.3941
4.7392,8.5657,7.8009,-30.9141
4.9134,8.7226,7.8519,-31.4303
5.091,8.8792,7.8315,-31.9436
5.2719,9.0372,7.8942,-32.4551
5.4557,9.1964,7.9648,-32.9648
5.6428,9.3551,7.9344,-33.4735
5.8331,9.5151,7.9982,-33.9823
6.0267,9.6758,8.0351,-34.4919
6.2234,9.8372,8.0732,-35.0029
6.4235,9.9992,8.0953,-35.5164
6.6267,10.1626,8.1677,-36.033
6.8332,10.3262,8.1803,-36.5534
7.043,10.4909,8.2393,-37.0788
7.2561,10.6563,8.2703,-37.6102
7.4725,10.8229,8.335,-38.1488
7.6924,10.9905,8.3726,-38.6958
7.9155,11.1596,8.462,-39.252
8.1422,11.3292,8.4774,-39.819
8.3723,11.5008,8.5725,-40.3983
8.6058,11.6737,8.6472,-40.9912
8.8425,11.8481,8.7286,-41.5991
9.0831,12.0235,8.7642,-42.2243
9.3271,12.2019,8.9216,-42.869
9.5739,12.341,6.9546,-43.5337
9.8186,12.2344,-5.3293,-44.2129
10.0603,12.0818,-7.6262,-44.9003
10.2989,11.9297,-7.6069,-45.596
10.5344,11.7789,-7.545,-46.3011
10.7671,11.6286,-7.5088,-47.0173
10.9966,11.4806,-7.4031,-47.7459
11.2233,11.3332,-7.3703,-48.4881
11.447,11.1874,-7.2913,-49.2454
11.6679,11.0425,-7.2422,-50.0191
11.886,10.8992,-7.1602,-50.811
12.101,10.7578,-7.078,-51.6217
12.3133,10.6166,-7.0616,-52.453
12.5229,10.4774,-6.9549,-53.307
12.7297,10.3397,-6.8841,-54.1851
12.9337,10.2039,-6.7928,-55.0883
13.1352,10.0683,-6.7791,-56.0183
13.3339,9.9355,-6.6404,-56.9774
13.5299,9.8037,-6.5865,-57.9664
13.7233,9.6736,-6.5097,-58.987
